# {"t_start": 1602341425.2324522, "env_id": "CartPole-v1"} 
r,l,t
25.0,25,16.111063
133.0,133,16.156129
88.0,88,16.186259
55.0,55,16.20505
57.0,57,16.223119
36.0,36,16.235525
60.0,60,16.256206
20.0,20,16.263503
72.0,72,16.288589
39.0,39,16.304166
23.0,23,16.316479
49.0,49,16.338268
32.0,32,16.351257
57.0,57,16.369335
65.0,65,16.391206
70.0,70,16.414277
37.0,37,16.427538
33.0,33,16.439159
13.0,13,16.443405
13.0,13,16.44796
26.0,26,16.457469
14.0,14,16.461895
37.0,37,16.474009
44.0,44,16.489657
51.0,51,16.507437
74.0,74,16.533015
30.0,30,16.544898
19.0,19,16.551737
27.0,27,16.563028
18.0,18,16.572122
57.0,57,16.601481
98.0,98,16.642836
56.0,56,16.663619
143.0,143,16.717342
52.0,52,16.738753
47.0,47,16.758371
22.0,22,16.766926
22.0,22,16.77558
117.0,117,16.817012
76.0,76,16.952962
29.0,29,16.963924
27.0,27,16.972852
31.0,31,16.982254
37.0,37,16.995783
24.0,24,17.004066
25.0,25,17.012624
94.0,94,17.046527
41.0,41,17.05945
34.0,34,17.071839
37.0,37,17.084312
89.0,89,17.113712
46.0,46,17.129408
16.0,16,17.135615
62.0,62,17.156758
109.0,109,17.194633
17.0,17,17.200382
29.0,29,17.210358
69.0,69,17.235124
30.0,30,17.245575
32.0,32,17.256761
45.0,45,17.271978
36.0,36,17.283602
78.0,78,17.309814
53.0,53,17.327969
55.0,55,17.345872
28.0,28,17.355684
112.0,112,17.392548
61.0,61,17.413219
42.0,42,17.427293
62.0,62,17.44799
18.0,18,17.454791
77.0,77,17.48023
35.0,35,17.491815
47.0,47,17.507787
55.0,55,17.533029
26.0,26,17.542315
74.0,74,17.567831
27.0,27,17.579186
57.0,57,17.599106
74.0,74,17.626737
63.0,63,17.646789
26.0,26,17.655354
28.0,28,17.717463
88.0,88,17.747438
102.0,102,17.781919
41.0,41,17.795804
131.0,131,17.843944
198.0,198,17.911526
62.0,62,17.932406
67.0,67,17.957794
22.0,22,17.966122
25.0,25,17.974073
95.0,95,18.004517
15.0,15,18.009491
44.0,44,18.024391
107.0,107,18.061759
34.0,34,18.074293
22.0,22,18.081649
105.0,105,18.115937
32.0,32,18.134702
73.0,73,18.160183
62.0,62,18.186734
61.0,61,18.207612
170.0,170,18.264003
124.0,124,18.305063
43.0,43,18.319813
63.0,63,18.341084
73.0,73,18.36627
126.0,126,18.407567
